SimulationTime	VehicleID	x	y	speed	angle
1004.00	PKW3876	2564.69	1254.89	0.00	353.34
1004.00	PKW4405	2844.39	2300.51	0.00	144.95
1004.00	PKW5518	2618.40	951.33	0.00	136.07
1004.00	PKW4888	2671.33	2514.74	13.89	308.66
1004.00	PKW4848	1936.76	2581.84	13.89	20.30
1004.00	LKW277	2669.24	818.73	13.89	106.74
1004.00	PKW4268	2555.23	1338.78	10.40	337.30
1004.00	PKW4717	1409.63	713.68	13.89	309.33
1004.00	PKW5223	1761.39	582.77	0.00	298.14
1004.00	PKW5076	2802.16	2466.49	0.00	178.68
1004.00	PKW5136	2767.58	2079.44	13.42	203.15
1004.00	PKW5542	2563.28	2562.34	13.89	129.77
1004.00	PKW4438	1896.34	1381.88	13.89	193.60
1004.00	PKW3886	2317.57	2679.45	7.05	268.48
1004.00	PKW5058	2246.63	2243.96	13.89	305.60
1004.00	routeFlow_bus34Ha.1	2808.71	2460.20	0.00	178.68
1004.00	PKW4732	1950.26	2599.69	13.89	30.62
1004.00	PKW5423	2838.83	2189.56	0.00	21.07
1004.00	PKW5416	1534.29	618.57	13.89	115.47
1004.00	PKW5472	2426.20	1935.34	0.00	337.02
1004.00	PKW5241	2291.37	972.69	13.89	288.14
1004.00	PKW4982	3077.32	714.88	13.89	104.88
1004.00	PKW4035	1285.15	1370.80	1.32	322.58
1004.00	PKW4877	2806.04	2437.10	0.00	178.68
1004.00	PKW4141	352.00	1055.95	13.89	267.77
1004.00	PKW4816	1549.48	1168.23	13.89	300.95
1004.00	PKW4966	1993.91	2696.30	13.89	24.97
1004.00	routeFlow_bus34Hc.1	2549.27	1284.88	11.24	181.44
1004.00	PKW5291	2866.12	2325.98	13.89	327.67
1004.00	PKW5361	2635.67	2502.12	13.89	129.64
1004.00	PKW4829	2902.16	2194.07	13.89	146.70
1004.00	PKW4213	1704.70	2894.98	13.89	308.46
1004.00	PKW4866	2061.24	1040.95	0.00	280.28
1004.00	PKW5190	2524.84	2011.60	13.89	261.24
1004.00	PKW4624	3775.04	1937.17	13.89	93.65
1004.00	PKW5340	2286.76	1897.39	13.89	232.11
1004.00	PKW5522	2810.56	2209.81	0.00	128.55
1004.00	PKW5085	2230.06	999.55	13.89	288.29
1004.00	PKW4891	1852.01	499.86	13.89	116.23
1004.00	PKW4310	1958.09	2619.56	13.89	22.80
1004.00	PKW3764	1089.63	2026.38	13.89	345.61
1004.00	PKW4944	1478.25	1137.08	0.00	199.12
1004.00	PKW5192	2295.50	974.70	13.89	288.13
1004.00	PKW5328	2623.83	852.93	0.00	226.76
1004.00	PKW4760	2489.87	882.49	13.89	107.57
1004.00	PKW4948	1864.80	2337.95	9.10	190.67
1004.00	PKW5532	1378.41	1881.99	0.00	4.50
1004.00	PKW5016	2208.14	459.14	2.60	203.64
1004.00	PKW5331	2766.19	800.84	13.89	104.88
1004.00	PKW4968	2826.23	2217.40	13.89	202.36
1004.00	LKW237	1809.07	1048.44	0.00	253.31
1004.00	PKW4992	1737.73	1855.15	4.01	288.41
1004.00	PKW5338	1869.84	2082.82	13.89	354.45
1004.00	LKW223	2855.57	2225.81	0.00	15.66
1004.00	PKW5031	1494.55	1197.97	13.89	309.30
1004.00	PKW4970	1387.93	1213.96	11.34	268.51
1004.00	PKW5445	1964.40	2675.09	13.89	195.11
1004.00	PKW5527	1390.84	3123.86	13.89	128.46
1004.00	PKW4849	2652.16	2029.54	13.89	262.21
1004.00	PKW4861	2061.82	1044.10	0.00	280.28
1004.00	PKW4663	1695.27	1089.32	13.57	285.18
1004.00	PKW5473	2526.45	587.82	0.00	291.56
1004.00	PKW3777	2320.78	2682.74	5.85	269.70
1004.00	PKW4799	2613.87	881.48	0.00	189.51
1004.00	PKW5050	1675.24	1872.58	11.70	103.67
1004.00	PKW4840	2821.24	2606.58	13.89	358.75
